name,inchikey
"3',4',7-Trihydroxyisoflavanone",NIUUFTCRUDJDHY-UHFFFAOYSA-N
3'-Hydroxy-O-desmethylangolensin,XTSWJTBIEXVATN-UHFFFAOYSA-N
3'-Hydroxydaidzein,DDKGKOOLFLYZDL-UHFFFAOYSA-N
3'-Hydroxyequol,BXUZHRKORIBRMQ-LLVKDONJSA-N
3'-Hydroxygenistein,IOYHCQBYQJQBSK-UHFFFAOYSA-N
3'-Hydroxymelanettin,IGHVYQBBZBLNDW-UHFFFAOYSA-N
3'-O-Methylequol,BMADVHDZKAZTNF-UHFFFAOYSA-N
3'-O-Methylviolanone,IFIRIIBDWLSFFH-UHFFFAOYSA-N
"4',6,7-Trihydroxyisoflavanone",ZAIJTQZQMCNJHG-UHFFFAOYSA-N
"4',7-Dihydroxy-3'-methoxyisoflavan",BMADVHDZKAZTNF-UHFFFAOYSA-N
"4',7-Dihydroxy-6-methoxyisoflavan",UIGOOLXQMJUBBW-UHFFFAOYSA-N
"4'-Methoxy-2',3,7-trihydroxyisoflavanone",KZBMBIHZXUQFOR-UHFFFAOYSA-N
4'-O-Methylequol,FPRFNXQLWQOWED-UHFFFAOYSA-N
5'-Hydroxy-O-desmethylangolensin,MPGFHNNVFUGPOX-UHFFFAOYSA-N
5'-Methoxy-O-desmethylangolensin,NAIOQCWMMFVXSV-UHFFFAOYSA-N
"5,6,7,3',4'-Pentahydroxyisoflavone",BIDDAFIPYBBDES-UHFFFAOYSA-N
"5,6,7,4'-Tetrahydroxyisoflavone",HDXSEWOOSVMREY-UHFFFAOYSA-N
"5,7,8,3',4'-Pentahydroxyisoflavone",USQGZNXXBDCNQF-UHFFFAOYSA-N
"5,7,8,4'-Tetrahydroxyisoflavone",ZKZCRGBCWBCSNJ-UHFFFAOYSA-N
"5,7-Dihydroxy-8,4'-dimethoxyisoflavone",NMTDSSMVJNLVNU-UHFFFAOYSA-N
6''-O-Malonyldaidzin,MTXMHWSVSZKYBT-UHFFFAOYSA-N
6'-Hydroxy-O-desmethylangolensin,IEFUAUZFJJOQMC-UHFFFAOYSA-N
6'-Hydroxyangolensin,UDALNYNLNYDPMV-UHFFFAOYSA-N
"6,7,3',4'-Tetrahydroxyisoflavone",QMMUPEDRUCMYIY-UHFFFAOYSA-N
"6,7,4'-Trihydroxyisoflavone",GYLUFQJZYAJQDI-UHFFFAOYSA-N
