,name,inchi
2348,dATP,"InChI=1S/C10H16N5O12P3/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(16)6(25-7)2-24-29(20,21)27-30(22,23)26-28(17,18)19/h3-7,16H,1-2H2,(H,20,21)(H,22,23)(H2,11,12,13)(H2,17,18,19)/t5-,6+,7+/m0/s1"
2479,Sulfur,InChI=1S/S
2506,CO,InChI=1S/Co
2592,I-,InChI=1S/HI/h1H/p-1
2599,F-,InChI=1S/FH/h1H/p-1
2756,dIDP,"InChI=1S/C10H14N4O10P2/c15-5-1-7(14-4-13-8-9(14)11-3-12-10(8)16)23-6(5)2-22-26(20,21)24-25(17,18)19/h3-7,15H,1-2H2,(H,20,21)(H,11,12,16)(H2,17,18,19)/t5-,6+,7+/m0/s1"
2757,dITP,"InChI=1S/C10H15N4O13P3/c15-5-1-7(14-4-13-8-9(14)11-3-12-10(8)16)25-6(5)2-24-29(20,21)27-30(22,23)26-28(17,18)19/h3-7,15H,1-2H2,(H,20,21)(H,22,23)(H,11,12,16)(H2,17,18,19)/t5-,6+,7+/m0/s1"
2793,Selenium,InChI=1S/Se
3770,GD3,InChI=1S/Gd
4942,RH,InChI=1S/Rh
5944,Manganese(IV) oxide,InChI=1S/Mn.2O
